object_type,Cultures/periods,count
pin,Mesopotamian,12
spear,Iron Age,12
inlay,18th Dynasty,12
ingot,Viking,12
vessel,Late Islamic,12
figure,Cypro-Archaic II,12
cylinderseal,Achaemenid,12
vessel,Yuan dynasty,12
cup,Roman,12
artefact,Taino,12
crescent,Mesolithic,12
palette,Predynastic,12
painting,Islamic,12
olpe,Attic,12
oinochoe,Apulian,12
needle,Neolithic,12
scaraboid,Late Period,12
scaraboid,26th Dynasty,12
scaraboid,18th Dynasty,12
humancremation,Iron Age,12
horsebridle-bit,Iron Age,12
spear-head,Neolithic,12
hinge,Romano-British,12
bowl,Late Medieval,12
brazier,Hellenistic,12
vessel,Early Iron Age,12
discbrooch,Late Anglo-Saxon,12
discbrooch,Anglo-Saxon,12
debitage,Neolithic,12
vessel,Roman Imperial,12
cylinderseal,Kassite,12
